Hour,Month,Day,Hour of Day,Generation (kWh)
835,2,4,18,0.000
836,2,4,19,0.000
837,2,4,20,0.000
838,2,4,21,0.000
839,2,4,22,0.000
840,2,4,23,0.000
841,2,5,0,0.000
842,2,5,1,0.000
843,2,5,2,0.000
844,2,5,3,0.000
845,2,5,4,0.000
846,2,5,5,0.000
847,2,5,6,0.000
848,2,5,7,0.000
849,2,5,8,0.000
850,2,5,9,9.266
851,2,5,10,25.876
852,2,5,11,30.733
853,2,5,12,14.335
854,2,5,13,8.392
855,2,5,14,10.026
856,2,5,15,9.355
857,2,5,16,2.823
858,2,5,17,0.000
859,2,5,18,0.000
860,2,5,19,0.000
861,2,5,20,0.000
862,2,5,21,0.000
863,2,5,22,0.000
864,2,5,23,0.000
865,2,6,0,0.000
866,2,6,1,0.000
867,2,6,2,0.000
868,2,6,3,0.000
869,2,6,4,0.000
870,2,6,5,0.000
871,2,6,6,0.000
872,2,6,7,0.000
873,2,6,8,1.041
874,2,6,9,18.899
875,2,6,10,26.177
876,2,6,11,38.576
877,2,6,12,37.339
878,2,6,13,29.858
879,2,6,14,35.643
880,2,6,15,26.020
881,2,6,16,9.084
882,2,6,17,0.000
883,2,6,18,0.000
884,2,6,19,0.000
885,2,6,20,0.000
886,2,6,21,0.000
887,2,6,22,0.000
888,2,6,23,0.000
889,2,7,0,0.000
890,2,7,1,0.000
891,2,7,2,0.000
892,2,7,3,0.000
893,2,7,4,0.000
894,2,7,5,0.000
895,2,7,6,0.000
896,2,7,7,0.000
897,2,7,8,1.837
898,2,7,9,29.588
899,2,7,10,39.866
900,2,7,11,48.217
901,2,7,12,44.904
902,2,7,13,32.576
903,2,7,14,24.046
904,2,7,15,11.456
905,2,7,16,10.686
906,2,7,17,0.000
907,2,7,18,0.000
908,2,7,19,0.000
909,2,7,20,0.000
910,2,7,21,0.000
911,2,7,22,0.000
912,2,7,23,0.000
913,2,8,0,0.000
914,2,8,1,0.000
915,2,8,2,0.000
916,2,8,3,0.000
917,2,8,4,0.000
918,2,8,5,0.000
919,2,8,6,0.000
920,2,8,7,0.000
921,2,8,8,0.503
922,2,8,9,5.346
923,2,8,10,11.237
924,2,8,11,17.665
925,2,8,12,12.655
926,2,8,13,22.318
927,2,8,14,23.634
928,2,8,15,6.468
929,2,8,16,3.474
930,2,8,17,0.000
931,2,8,18,0.000
932,2,8,19,0.000
933,2,8,20,0.000
934,2,8,21,0.000
935,2,8,22,0.000
936,2,8,23,0.000
937,2,9,0,0.000
938,2,9,1,0.000
939,2,9,2,0.000
940,2,9,3,0.000
941,2,9,4,0.000
942,2,9,5,0.000
943,2,9,6,0.000
944,2,9,7,0.000
945,2,9,8,0.148
946,2,9,9,9.199
947,2,9,10,22.050
948,2,9,11,24.551
949,2,9,12,23.904
950,2,9,13,27.944
951,2,9,14,25.036
952,2,9,15,17.598
953,2,9,16,13.864
954,2,9,17,0.000
955,2,9,18,0.000
956,2,9,19,0.000
957,2,9,20,0.000
958,2,9,21,0.000
959,2,9,22,0.000
960,2,9,23,0.000
961,2,10,0,0.000
962,2,10,1,0.000
963,2,10,2,0.000
964,2,10,3,0.000
965,2,10,4,0.000
966,2,10,5,0.000
967,2,10,6,0.000
968,2,10,7,0.000
969,2,10,8,0.394
970,2,10,9,4.679
971,2,10,10,10.692
972,2,10,11,13.789
973,2,10,12,11.699
974,2,10,13,19.169
975,2,10,14,11.519
976,2,10,15,19.424
977,2,10,16,7.238
978,2,10,17,0.000
979,2,10,18,0.000
980,2,10,19,0.000
981,2,10,20,0.000
982,2,10,21,0.000
983,2,10,22,0.000
984,2,10,23,0.000
985,2,11,0,0.000
986,2,11,1,0.000
987,2,11,2,0.000
988,2,11,3,0.000
989,2,11,4,0.000
990,2,11,5,0.000
991,2,11,6,0.000
992,2,11,7,0.000
993,2,11,8,0.222
994,2,11,9,13.478
995,2,11,10,17.784
996,2,11,11,27.620
997,2,11,12,32.696
998,2,11,13,27.970
999,2,11,14,38.116
1000,2,11,15,9.413
1001,2,11,16,9.749
1002,2,11,17,0.000
1003,2,11,18,0.000
1004,2,11,19,0.000
1005,2,11,20,0.000
1006,2,11,21,0.000
1007,2,11,22,0.000
1008,2,11,23,0.000
1009,2,12,0,0.000
1010,2,12,1,0.000
1011,2,12,2,0.000
1012,2,12,3,0.000
1013,2,12,4,0.000
1014,2,12,5,0.000
1015,2,12,6,0.000
1016,2,12,7,0.000
1017,2,12,8,2.163
1018,2,12,9,17.322
1019,2,12,10,15.566
1020,2,12,11,42.452
1021,2,12,12,27.937
1022,2,12,13,23.142
1023,2,12,14,24.233
1024,2,12,15,20.678
1025,2,12,16,16.707
1026,2,12,17,0.000
1027,2,12,18,0.000
1028,2,12,19,0.000
1029,2,12,20,0.000
1030,2,12,21,0.000
1031,2,12,22,0.000
1032,2,12,23,0.000
1033,2,13,0,0.000
1034,2,13,1,0.000
1035,2,13,2,0.000
1036,2,13,3,0.000
1037,2,13,4,0.000
1038,2,13,5,0.000
1039,2,13,6,0.000
1040,2,13,7,0.000
1041,2,13,8,3.985
1042,2,13,9,17.972
1043,2,13,10,27.266
1044,2,13,11,34.839
1045,2,13,12,38.877
1046,2,13,13,38.834
1047,2,13,14,35.293
1048,2,13,15,30.880
1049,2,13,16,20.953
1050,2,13,17,0.000
1051,2,13,18,0.000
1052,2,13,19,0.000
1053,2,13,20,0.000
1054,2,13,21,0.000
1055,2,13,22,0.000
1056,2,13,23,0.000
1057,2,14,0,0.000
1058,2,14,1,0.000
1059,2,14,2,0.000
1060,2,14,3,0.000
1061,2,14,4,0.000
1062,2,14,5,0.000
1063,2,14,6,0.000
1064,2,14,7,0.000
1065,2,14,8,4.753
1066,2,14,9,23.042
1067,2,14,10,34.397
1068,2,14,11,46.393
1069,2,14,12,45.749
1070,2,14,13,37.541
1071,2,14,14,26.984
1072,2,14,15,19.366
1073,2,14,16,11.610
1074,2,14,17,0.000
1075,2,14,18,0.000
1076,2,14,19,0.000
1077,2,14,20,0.000
1078,2,14,21,0.000
1079,2,14,22,0.000
1080,2,14,23,0.000
1081,2,15,0,0.000
1082,2,15,1,0.000
1083,2,15,2,0.000
1084,2,15,3,0.000
1085,2,15,4,0.000
1086,2,15,5,0.000
1087,2,15,6,0.000
1088,2,15,7,0.000
1089,2,15,8,11.070
1090,2,15,9,50.037
1091,2,15,10,65.674
1092,2,15,11,59.441
1093,2,15,12,60.240
1094,2,15,13,73.607
1095,2,15,14,58.618
1096,2,15,15,30.555
1097,2,15,16,12.806
1098,2,15,17,0.000
1099,2,15,18,0.000
1100,2,15,19,0.000
1101,2,15,20,0.000
1102,2,15,21,0.000
1103,2,15,22,0.000
1104,2,15,23,0.000
1105,2,16,0,0.000
1106,2,16,1,0.000
1107,2,16,2,0.000
1108,2,16,3,0.000
1109,2,16,4,0.000
1110,2,16,5,0.000
1111,2,16,6,0.000
1112,2,16,7,0.000
1113,2,16,8,9.213
1114,2,16,9,16.115
1115,2,16,10,33.079
1116,2,16,11,35.726
1117,2,16,12,62.984
1118,2,16,13,31.749
1119,2,16,14,34.512
1120,2,16,15,17.726
1121,2,16,16,7.387
1122,2,16,17,0.000
1123,2,16,18,0.000
1124,2,16,19,0.000
1125,2,16,20,0.000
1126,2,16,21,0.000
1127,2,16,22,0.000
1128,2,16,23,0.000
1129,2,17,0,0.000
1130,2,17,1,0.000
1131,2,17,2,0.000
1132,2,17,3,0.000
1133,2,17,4,0.000
1134,2,17,5,0.000
1135,2,17,6,0.000
1136,2,17,7,0.000
1137,2,17,8,4.221
1138,2,17,9,25.110
1139,2,17,10,26.093
1140,2,17,11,34.766
1141,2,17,12,39.242
1142,2,17,13,30.394
1143,2,17,14,35.989
